"table_name"	"index_name"	"type_desc"	"is_unique"	"is_primary_key"	"columns"
"TPCBANGMASTERTABLE"	"IX_TPCBANGMASTERTABLE_2"	"NONCLUSTERED"	"0"	"0"	"dWorld3"
"TPCBANGMASTERTABLE"	"IX_TPCBANGMASTERTABLE_3"	"NONCLUSTERED"	"0"	"0"	"dWorld4"
"TCASHSHOPITEMCHART"	"PK_TCASHSHOPITEMCHART"	"CLUSTERED"	"1"	"1"	"wID"
"TACCOUNT_PW"	"PK__TACCOUNT__7F8566D75A6F5FCC"	"CLUSTERED"	"1"	"1"	"dwUserID"
"TCASHITEMCABINETTABLE"	"PK_TCASHITEMCABINETTABLE"	"CLUSTERED"	"1"	"1"	"dwID"
"TCASHITEMCABINETTABLE"	"IX_TCASHITEMCABINETTABLE"	"NONCLUSTERED"	"0"	"0"	"dwUserID"
"TCASHITEMCABINETTABLE"	"IX_TCASHITEMCABINETTABLE_1"	"NONCLUSTERED"	"0"	"0"	"bWorldID"
"TCASHITEMCABINETTABLE"	"IX_TCASHITEMCABINETTABLE_2"	"NONCLUSTERED"	"0"	"0"	"dlID"
"TCASHITEMCABINETTABLE"	"IX_TCASHITEMCABINETTABLE_3"	"NONCLUSTERED"	"0"	"0"	"wItemID"
"TCASHGAMBLECHART"	"PK__TCASHGAM__2F75250266A02C87"	"CLUSTERED"	"1"	"1"	"dwID"
"TCASHTESTTABLE"	"PK__TCASHTESTTABLE__1F4E99FE"	"CLUSTERED"	"1"	"1"	"dwUserID"
"TCASHBONUSITEMCHART"	"PK_TCASHBONUSITEMCHART"	"CLUSTERED"	"1"	"1"	"wCashItemID,wBonusItem"
"TIPAUTHORITY"	"PK_TIPAUTHORITY"	"CLUSTERED"	"1"	"1"	"szIP"
"TIPAUTHORITY"	"IX_TIPAUTHORITY_IP_AUTHORITY"	"NONCLUSTERED"	"0"	"0"	"szIP,bAuthority"
"TUSER_INTERFACE"	"PK__TUSER_IN__264479056A70BD6B"	"CLUSTERED"	"1"	"1"	"bOption"
"TDURINGITEMTABLE"	"PK_TDURINGITEMTABLE"	"CLUSTERED"	"1"	"1"	"dwUserID,wItemID"
"TREGIONCHART"	"PK_TREGIONCHART"	"CLUSTERED"	"1"	"1"	"dwID"
"TTEMPDURINGITEMTABLE"	"PK_TTEMPDURINGITEMTABLE"	"CLUSTERED"	"1"	"1"	"dwUserID,wItemID"
"TPREVERSION"	"PK__TPREVERSION__24134F1B"	"CLUSTERED"	"1"	"1"	"dwBetaVer"
"TCASHITEMINFOCHART"	"PK_TCASHITEMINFOCHART"	"CLUSTERED"	"1"	"1"	"wCashItemID"
"TCHANNEL"	"PK__TCHANNEL__B2A02D6376177A41"	"CLUSTERED"	"1"	"1"	"bChannel,bGroupID"
"TCHANNEL"	"IX_TCHANNEL"	"NONCLUSTERED"	"0"	"0"	"bGroupID"
"TCHANNEL"	"IX_TCHANNEL_STATUS"	"NONCLUSTERED"	"0"	"0"	"bStatus"
"TCHANNEL"	"IX_TCHANNEL_GROUP_STATUS"	"NONCLUSTERED"	"0"	"0"	"bGroupID,bStatus"
"TCHANNEL"	"IX_TCHANNEL_GROUP_CHANNEL"	"NONCLUSTERED"	"0"	"0"	"bGroupID,bChannel"
"TCHANNEL"	"IX_TCHANNEL_CHANNEL_STATUS"	"NONCLUSTERED"	"0"	"0"	"bChannel,bStatus"
"TSERVER"	"IX_TSERVER_TYPE"	"NONCLUSTERED"	"0"	"0"	"bType"
