"table_name"	"index_name"	"type_desc"	"is_unique"	"is_primary_key"	"columns"
"TQUESTTERMCHART"	"PK__TQUESTTE__2F7525021D9DBDBB"	"CLUSTERED"	"1"	"1"	"dwID"
"TQUESTTERMCHART"	"IX_TQUESTTERMCHART_QUEST"	"NONCLUSTERED"	"0"	"0"	"dwQuestID"
"TGMREWARDCHART"	"IX_TGMREWARDCHART"	"NONCLUSTERED"	"0"	"0"	"bLevel"
"TGMREWARDTABLE"	"PK__TGMREWAR__C5ACC33B202F464C"	"CLUSTERED"	"1"	"1"	"dwUserID,bLevel"
"TTEMPINVENTABLE"	"PK__TTEMPINV__688A92BB21436616"	"CLUSTERED"	"1"	"1"	"dwCharID,bInvenID"
"TTEMPINVENTABLE"	"IX_TTEMPINVENTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TMONTHPVPOINTTABLE"	"PK__TMONTHPV__9661723321AD7A6A"	"CLUSTERED"	"1"	"1"	"dwCharID,bCountry"
"TGODBALLCHART"	"PK__TGODBALL__30FE574323FFD730"	"CLUSTERED"	"1"	"1"	"wID"
"TCABINETITEMTABLE"	"PK__TCABINET__A2C2BB4D25290593"	"CLUSTERED"	"1"	"1"	"dwCharID,bCabinetID,dwStItemID"
"TCABINETITEMTABLE"	"IX_TCABINETTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TCABINETITEMTABLE"	"IX_TCABINETITEMTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TTEMPITEMTABLE"	"IX_TTEMPITEMTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwOwnerID,bOwnerType,bStorageType"
"TTEMPITEMTABLE"	"IX_TTEMPITEMTABLE"	"NONCLUSTERED"	"0"	"0"	"dlID"
"TCLASSCHART"	"PK__TCLASSCH__87A39E104D41E3E5"	"CLUSTERED"	"1"	"1"	"bClassID"
"THELPMESSAGETABLE"	"PK__THELPMES__DE99891F26680DE6"	"CLUSTERED"	"1"	"1"	"bID"
"TMONTHRANKCHART"	"PK__TMONTHRA__71238B2B26722F87"	"CLUSTERED"	"1"	"1"	"bRank"
"TGODTOWERCHART"	"PK__TGODTOWE__30FE574327D06814"	"CLUSTERED"	"1"	"1"	"wID"
"TMOUNTITEMTABLE"	"PK__TMOUNTIT__583961AD9F0C7AC8"	"CLUSTERED"	"1"	"1"	"dwUserID,wItemID"
"TTEMPITEMUSEDTABLE"	"PK__TTEMPITE__A4A3CF4228E487DE"	"CLUSTERED"	"1"	"1"	"dwCharID,wDelayGroupID"
"TTEMPITEMUSEDTABLE"	"IX_TTEMPITEMUSEDTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TTITLETABLE"	"PK__TTITLETA__0A50479F28EF74D6"	"CLUSTERED"	"1"	"1"	"dwCharID,wTitleID"
"TQUESTTABLE"	"PK__TQUESTTA__4C053A9F29199208"	"CLUSTERED"	"1"	"1"	"dwCharID,dwQuestID"
"TQUESTTABLE"	"IX_TQUESTTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TQUESTTABLE"	"IX_TQUESTTABLE"	"NONCLUSTERED"	"0"	"0"	"dwQuestID,bCompleteCount"
"TCABINETTABLE"	"PK__TCABINET__83E1E3EF29EDBAB0"	"CLUSTERED"	"1"	"1"	"dwCharID,bCabinetID"
"TCABINETTABLE"	"IX_TCABINETTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TITEMLEVELCHART"	"PK__TITEMLEV__5A20AA5E2A18A339"	"CLUSTERED"	"1"	"1"	"bGrade"
"TGEMGRADECHART"	"PK__TGEMGRAD__04329D602A389ECA"	"CLUSTERED"	"1"	"1"	"bGem"
"TMOUNTTABLE"	"PK__TMOUNTTA__F886F34849F77EA5"	"CLUSTERED"	"1"	"1"	"dwCharID,wMountID"
"TSTARTHOTKEY"	"IX_TSTARTHOTKEY"	"NONCLUSTERED"	"0"	"0"	"bClassID"
"TGUILDARTICLETABLE"	"PK__TGUILDAR__B9CA43652BA0F8F8"	"CLUSTERED"	"1"	"1"	"dwGuildID,dwID"
"TGUILDARTICLETABLE"	"IX_TGUILDARTICLETABLE_GUILDID"	"NONCLUSTERED"	"0"	"0"	"dwGuildID"
"TSTARTSKILL"	"IX_TSTARTSKILL"	"NONCLUSTERED"	"0"	"0"	"bClassID"
"TITEMATTRCHART"	"PK__TITEMATT__30FE57432CAAF721"	"CLUSTERED"	"1"	"1"	"wID"
"TTEMPSKILLMAINTAINTABLE"	"PK__TTEMPSKI__80F816172CB518C2"	"CLUSTERED"	"1"	"1"	"dwCharID,wSkillID"
"TTEMPSKILLMAINTAINTABLE"	"IX_TTEMPSKILLMAINTAINTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TBATTLETIMECHART"	"PK__TBATTLET__833405D22CC005BA"	"CLUSTERED"	"1"	"1"	"bType"
"TITEMTABLE"	"PK__TITEMTAB__DA9B90A62D7432D1"	"CLUSTERED"	"1"	"1"	"dlID"
