"Id","IdDec","Name","Base","Offset","File","Line"
"0x199C","6556","CS_HOTSEND_ACK","CS_LOGIN","0x0015","CSProtocol.h","136"
"0x199D","6557","CS_VETERAN_REQ","CS_LOGIN","0x0016","CSProtocol.h","138"
"0x199E","6558","CS_VETERAN_ACK","CS_LOGIN","0x0017","CSProtocol.h","139"
"0x199F","6559","CS_SECURITYCONFIRM_REQ","CS_LOGIN","0x0018","CSProtocol.h","4193"
"0x19A0","6560","CS_SECURITYCONFIRM_ACK","CS_LOGIN","0x0019","CSProtocol.h","4194"
"0x19A7","6567","CS_SECURITYRESULT_ACK","CS_LOGIN","0x0020","CSProtocol.h","4195"
"0x4202","16898","CT_PATCH_REQ","CT_PATCH","0x0001","CTProtocol.h","273"
"0x4203","16899","CT_PATCH_ACK","CT_PATCH","0x0002","CTProtocol.h","274"
"0x4204","16900","CT_PATCHEND_REQ","CT_PATCH","0x0003","CTProtocol.h","275"
"0x4205","16901","CT_PATCHEND_ACK","CT_PATCH","0x0004","CTProtocol.h","276"
"0x4206","16902","CT_PATCHSTART_REQ","CT_PATCH","0x0005","CTProtocol.h","277"
"0x4207","16903","CT_PREPATCH_REQ","CT_PATCH","0x0006","CTProtocol.h","278"
"0x4208","16904","CT_PREPATCH_ACK","CT_PATCH","0x0007","CTProtocol.h","279"
"0x420B","16907","CT_NEWPATCH_REQ","CT_PATCH","0x000A","CTProtocol.h","280"
"0x420C","16908","CT_NEWPATCH_ACK","CT_PATCH","0x000B","CTProtocol.h","281"
"0x420D","16909","CT_PREPATCHCOMPLETE_REQ","CT_PATCH","0x000C","CTProtocol.h","282"
"0x420E","16910","CT_CHANGEIF_REQ","CT_PATCH","0x000D","CTProtocol.h","283"
"0x420F","16911","CT_CHANGEWV_REQ","CT_PATCH","0x000E","CTProtocol.h","284"
"0x4312","17170","CS_CHECKSESSIONVALIDITY_REQ","CS_CUSTOM","0x1000","CSProtocol.h","4190"
"0x4313","17171","CS_VERIFYSESSION_ACK","CS_CUSTOM","0x1001","CSProtocol.h","4191"
"0x5281","21121","CS_CONNECT_REQ","CS_MAP","0x0001","CSProtocol.h","144"
"0x5282","21122","CS_CONNECT_ACK","CS_MAP","0x0002","CSProtocol.h","153"
"0x5283","21123","CS_INVALIDCHAR_ACK","CS_MAP","0x0003","CSProtocol.h","156"
"0x5284","21124","CS_ADDCONNECT_ACK","CS_MAP","0x0004","CSProtocol.h","157"
"0x5285","21125","CS_CHARINFO_ACK","CS_MAP","0x0005","CSProtocol.h","165"
"0x5286","21126","CS_ENTER_ACK","CS_MAP","0x0006","CSProtocol.h","301"
"0x5287","21127","CS_LEAVE_ACK","CS_MAP","0x0007","CSProtocol.h","399"
"0x5288","21128","CS_CONREADY_REQ","CS_MAP","0x0008","CSProtocol.h","403"
"0x5289","21129","CS_MOVE_REQ","CS_MAP","0x0009","CSProtocol.h","404"
"0x528A","21130","CS_MOVE_ACK","CS_MAP","0x000A","CSProtocol.h","416"
"0x528B","21131","CS_JUMP_REQ","CS_MAP","0x000B","CSProtocol.h","427"
